date(YYYY-m-d),streamflow
2018-01-01,0.05918
2018-01-02,0.05437
2018-01-03,0.0517
2018-01-04,0.05015
2018-01-05,0.04917
2018-01-06,0.04849
2018-01-07,0.04797
2018-01-08,0.05339
2018-01-09,0.05017
2018-01-10,0.04833
2018-01-11,0.04721
2018-01-12,0.04647
2018-01-13,0.04592
2018-01-14,0.06797
2018-01-15,0.05674
2018-01-16,0.05112
2018-01-17,0.1472
2018-01-18,0.09734
2018-01-19,0.07128
2018-01-20,0.05766
2018-01-21,0.05046
2018-01-22,0.04818
2018-01-23,0.04527
2018-01-24,0.04362
2018-01-25,0.04262
2018-01-26,0.04196
2018-01-27,0.04147
2018-01-28,0.04108
2018-01-29,0.04073
2018-01-30,0.04041
2018-01-31,0.04011
2018-02-01,0.03982
2018-02-02,0.03952
2018-02-03,0.03924
2018-02-04,0.03896
2018-02-05,0.03868
2018-02-06,0.03841
2018-02-07,0.03813
2018-02-08,0.03786
2018-02-09,0.0376
2018-02-10,0.03733
2018-02-11,0.03707
2018-02-12,0.03681
2018-02-13,0.03656
2018-02-14,0.03631
2018-02-15,0.03604
2018-02-16,0.03579
2018-02-17,0.03553
2018-02-18,0.03529
2018-02-19,0.03504
2018-02-20,0.0348
2018-02-21,0.03455
2018-02-22,0.03432
2018-02-23,0.03466
2018-02-24,0.03414
2018-02-25,0.03393
2018-02-26,0.03372
2018-02-27,0.03351
2018-02-28,1.248
2018-03-01,0.6381
2018-03-02,0.38
2018-03-03,0.2492
2018-03-04,0.2051
2018-03-05,0.1794
2018-03-06,0.1476
2018-03-07,0.1316
2018-03-08,0.1662
2018-03-09,0.1419
2018-03-10,0.1291
2018-03-11,0.1223
2018-03-12,0.1186
2018-03-13,0.1165
2018-03-14,0.1153
2018-03-15,0.1224
2018-03-16,0.1187
2018-03-17,0.1166
2018-03-18,0.1156
2018-03-19,0.3374
2018-03-20,0.232
2018-03-21,0.178
2018-03-22,0.1493
2018-03-23,0.1343
2018-03-24,0.1263
2018-03-25,0.122
2018-03-26,0.1196
2018-03-27,0.1182
2018-03-28,0.1173
2018-03-29,0.1167
2018-03-30,0.1161
2018-03-31,0.1157
2018-04-01,0.1153
2018-04-02,0.1149
2018-04-03,0.1146
2018-04-04,0.1722
2018-04-05,0.2063
2018-04-06,0.2301
2018-04-07,0.1776
2018-04-08,0.1501
2018-04-09,0.1357
2018-04-10,0.1299
2018-04-11,0.126
2018-04-12,0.1231
2018-04-13,0.1215
2018-04-14,0.2038
2018-04-15,0.1645
2018-04-16,0.1438
2018-04-17,0.133
2018-04-18,0.1271
2018-04-19,0.1239
2018-04-20,0.1221
2018-04-21,0.1209
2018-04-22,0.1201
2018-04-23,0.4896
2018-04-24,0.3174
2018-04-25,0.2244
2018-04-26,0.1761
2018-04-27,0.1509
2018-04-28,0.1377
2018-04-29,0.1307
2018-04-30,0.1268
2018-05-01,0.1246
2018-05-02,0.2122
2018-05-03,0.1705
2018-05-04,0.1481
2018-05-05,0.1363
2018-05-06,0.2647
2018-05-07,0.1982
2018-05-08,0.1634
2018-05-09,0.1452
2018-05-10,0.1356
2018-05-11,0.1304
2018-05-12,0.3212
2018-05-13,0.229
2018-05-14,0.1804
2018-05-15,0.1551
2018-05-16,0.3611
2018-05-17,0.268
2018-05-18,0.9766
2018-05-19,0.5741
2018-05-20,0.365
2018-05-21,0.2565
2018-05-22,0.202
2018-05-23,0.2598
2018-05-24,0.2033
2018-05-25,0.1737
2018-05-26,0.1581
2018-05-27,0.1497
2018-05-28,0.1451
2018-05-29,0.1454
2018-05-30,0.1573
2018-05-31,0.149
2018-06-01,0.1113
2018-06-02,0.09161
2018-06-03,0.08114
2018-06-04,0.07546
2018-06-05,0.07226
2018-06-06,0.07032
2018-06-07,0.06906
2018-06-08,0.06815
2018-06-09,0.06741
2018-06-10,0.06678
2018-06-11,0.06621
2018-06-12,0.06564
2018-06-13,0.06509
2018-06-14,0.06456
2018-06-15,0.06403
2018-06-16,0.06349
2018-06-17,0.06299
2018-06-18,0.06248
2018-06-19,0.062
2018-06-20,0.0615
2018-06-21,0.061
2018-06-22,0.0605
2018-06-23,0.06002
2018-06-24,0.05954
2018-06-25,0.05907
2018-06-26,0.8153
2018-06-27,0.4537
2018-06-28,0.266
2018-06-29,0.1686
2018-06-30,0.1181
2018-07-01,3.726
2018-07-02,1.314
2018-07-03,0.7207
2018-07-04,0.413
2018-07-05,0.2537
2018-07-06,0.171
2018-07-07,0.1279
2018-07-08,0.1053
2018-07-09,0.3662
2018-07-10,0.2305
2018-07-11,0.1598
2018-07-12,0.1229
2018-07-13,0.1035
2018-07-14,0.09314
2018-07-15,0.08744
2018-07-16,0.08416
2018-07-17,0.08215
2018-07-18,0.08078
2018-07-19,0.07976
2018-07-20,0.07891
2018-07-21,0.07815
2018-07-22,0.07746
2018-07-23,0.07679
2018-07-24,0.07614
2018-07-25,0.07552
2018-07-26,0.07489
2018-07-27,0.07427
2018-07-28,0.07367
2018-07-29,0.07306
2018-07-30,0.07245
2018-07-31,0.07185
2018-08-01,0.07125
2018-08-02,0.07067
2018-08-03,0.07009
2018-08-04,0.06953
2018-08-05,0.06899
2018-08-06,0.07244
2018-08-07,0.07003
2018-08-08,0.06851
2018-08-09,0.08044
2018-08-10,0.08036
2018-08-11,0.07359
2018-08-12,0.06983
2018-08-13,0.06763
2018-08-14,0.06623
2018-08-15,0.06525
2018-08-16,0.06451
2018-08-17,0.06387
2018-08-18,0.0633
2018-08-19,0.06276
2018-08-20,0.06224
2018-08-21,0.06176
2018-08-22,0.06125
2018-08-23,0.06078
2018-08-24,0.1161
2018-08-25,0.08931
2018-08-26,0.1516
2018-08-27,0.977
2018-08-28,6.364
2018-08-29,3.338
2018-08-30,3.034
2018-08-31,2.653
2018-09-01,1.389
2018-09-02,0.7699
2018-09-03,5.351
2018-09-04,2.9
2018-09-05,1.56
2018-09-06,0.8674
2018-09-07,0.5097
2018-09-08,0.3233
2018-09-09,0.2265
2018-09-10,0.1759
2018-09-11,0.1492
2018-09-12,0.135
2018-09-13,0.1271
2018-09-14,0.1225
2018-09-15,0.1198
2018-09-16,0.1178
2018-09-17,0.1163
2018-09-18,0.115
2018-09-19,0.1139
2018-09-20,0.1144
2018-09-21,0.5341
2018-09-22,0.3328
2018-09-23,0.2278
2018-09-24,0.173
2018-09-25,0.1443
2018-09-26,0.1289
2018-09-27,0.1205
2018-09-28,0.1157
2018-09-29,0.1128
2018-09-30,0.1108
2018-10-01,0.1093
2018-10-02,0.1081
2018-10-03,0.107
2018-10-04,0.106
2018-10-05,0.5609
2018-10-06,0.7537
2018-10-07,0.4456
2018-10-08,0.2854
2018-10-09,0.2021
2018-10-10,0.1586
2018-10-11,0.1356
2018-10-12,0.1233
2018-10-13,0.1164
2018-10-14,0.1125
2018-10-15,0.11
2018-10-16,0.1082
2018-10-17,0.1069
2018-10-18,0.1131
2018-10-19,0.1088
2018-10-20,0.1061
2018-10-21,0.1043
2018-10-22,0.103
2018-10-23,0.1019
2018-10-24,0.1009
2018-10-25,0.09996
2018-10-26,0.1166
2018-10-27,0.1085
2018-10-28,0.1077
2018-10-29,0.1035
2018-10-30,0.1009
2018-10-31,0.09922
2018-11-01,0.09794
2018-11-02,0.09688
2018-11-03,0.09595
2018-11-04,0.09508
2018-11-05,0.09425
2018-11-06,0.09345
2018-11-07,0.0928
2018-11-08,0.5397
2018-11-09,0.3264
2018-11-10,0.2152
2018-11-11,0.1574
2018-11-12,0.1271
2018-11-13,0.111
2018-11-14,0.1024
2018-11-15,0.0975
2018-11-16,0.09463
2018-11-17,0.09278
2018-11-18,0.09146
2018-11-19,0.09041
2018-11-20,0.08951
2018-11-21,0.09056
2018-11-22,0.08897
2018-11-23,0.0878
2018-11-24,0.09544
2018-11-25,0.09158
2018-11-26,0.08912
2018-11-27,0.08751
2018-11-28,0.08633
2018-11-29,0.08539
2018-11-30,0.08456
2018-12-01,0.08381
2018-12-02,0.08309
2018-12-03,0.1668
2018-12-04,0.2206
2018-12-05,0.1564
2018-12-06,0.1231
2018-12-07,0.1054
2018-12-08,0.09593
2018-12-09,0.09069
2018-12-10,0.08764
2018-12-11,0.08574
2018-12-12,0.08442
2018-12-13,0.08342
2018-12-14,0.08258
2018-12-15,0.08182
2018-12-16,0.08111
2018-12-17,0.1039
2018-12-18,0.09192
2018-12-19,0.0854
2018-12-20,0.08172
2018-12-21,0.07952
2018-12-22,0.07808
2018-12-23,0.07704
2018-12-24,0.07621
2018-12-25,0.07549
