date(YYYY-m-d),streamflow
2016-01-01,0.5967182
2016-01-02,0.658477939
2016-01-03,0.658477939
2016-01-04,0.658477939
2016-01-05,0.658477939
2016-01-06,0.647036886
2016-01-07,0.57839057
2016-01-08,0.570763202
2016-01-09,0.566949517
2016-01-10,0.566949517
2016-01-11,0.531480725
2016-01-12,0.50665257
2016-01-13,0.492465053
2016-01-14,0.499558811
2016-01-15,0.481824415
2016-01-16,0.485371294
2016-01-17,0.485371294
2016-01-18,0.485371294
2016-01-19,0.468716298
2016-01-20,0.478547386
2016-01-21,0.432668977
2016-01-22,0.409729772
2016-01-23,0.403175714
2016-01-24,0.379145292
2016-01-25,0.358118672
2016-01-26,0.352111067
2016-01-27,0.364126278
2016-01-28,0.337092053
2016-01-29,0.397168108
2016-01-30,0.403175714
2016-01-31,0.478547386
2016-02-01,0.385152897
2016-02-02,0.331084447
2016-02-03,0.361122475
2016-02-04,0.373137686
2016-02-05,0.376141489
2016-02-06,0.379145292
2016-02-07,0.36713008
2016-02-08,0.36713008
2016-02-09,0.385152897
2016-02-10,0.370133883
2016-02-11,0.379145292
2016-02-12,0.449593823
2016-02-13,1.387262535
2016-02-14,2.736420023
2016-02-15,2.324536702
2016-02-16,1.563200165
2016-02-17,1.231980945
2016-02-18,1.087373711
2016-02-19,0.97570058
2016-02-20,0.924861529
2016-02-21,0.851805924
2016-02-22,0.799735344
2016-02-23,0.756343195
2016-02-24,0.752265476
2016-02-25,0.69517741
2016-02-26,0.719643724
2016-02-27,0.7359546
2016-02-28,0.741601295
2016-02-29,0.91106642
2016-03-01,0.893709561
2016-03-02,0.711488286
2016-03-03,0.723721443
2016-03-04,0.756343195
2016-03-05,0.815338024
2016-03-06,3.680332839
2016-03-07,3.05607817
2016-03-08,2.357645356
2016-03-09,1.902843064
2016-03-10,1.596644934
2016-03-11,1.496951914
2016-03-12,1.349971844
2016-03-13,1.269018496
2016-03-14,1.21002127
2016-03-15,1.07779379
2016-03-16,1.097594341
2016-03-17,0.952971277
2016-03-18,1.070501911
2016-03-19,1.21002127
2016-03-20,1.195457232
2016-03-21,0.906468051
2016-03-22,0.860484354
2016-03-23,0.860484354
2016-03-24,0.860484354
2016-03-25,0.856145139
2016-03-26,0.825770634
2016-03-27,0.804074559
2016-03-28,0.860484354
2016-03-29,0.860484354
2016-03-30,0.860484354
2016-03-31,0.860484354
2016-04-01,0.860484354
2016-04-02,0.860484354
2016-04-03,0.860484354
2016-04-04,0.665983495
2016-04-05,0.512209459
2016-04-06,0.237420737
2016-04-07,1.006436464
2016-04-08,1.189833079
2016-04-09,0.985411287
2016-04-10,0.970845226
2016-04-11,0.961648487
2016-04-12,1.08837743
2016-04-13,1.669744882
2016-04-14,1.356591691
2016-04-15,1.174249065
2016-04-16,8.163345224
2016-04-17,6.398836801
2016-04-18,3.990488861
2016-04-19,3.161636973
2016-04-20,4.002060632
2016-04-21,5.208991847
2016-04-22,3.577015938
2016-04-23,2.976531026
2016-04-24,2.62793658
2016-04-25,2.364253105
2016-04-26,2.026058156
2016-04-27,2.556548482
2016-04-28,2.129499111
2016-04-29,1.761919941
2016-04-30,1.520409095
2016-05-01,1.394889258
2016-05-02,2.191516174
2016-05-03,6.134740304
2016-05-04,4.608854053
2016-05-05,3.866407549
2016-05-06,3.339153583
2016-05-07,2.764940066
2016-05-08,2.386247422
2016-05-09,2.617974846
2016-05-10,3.869212945
2016-05-11,2.945288384
2016-05-12,2.481072538
2016-05-13,2.072042286
2016-05-14,2.072042286
2016-05-15,2.540698466
2016-05-16,2.951672893
2016-05-17,2.951672893
2016-05-18,2.951672893
2016-05-19,2.951672893
2016-05-20,2.951672893
2016-05-21,2.951672893
2016-05-22,2.951672893
2016-05-23,2.951672893
2016-05-24,2.73564171
2016-05-25,1.48821893
2016-05-26,1.098359225
2016-05-27,0.879655297
2016-05-28,0.727799162
2016-05-29,0.567216322
2016-05-30,0.481824415
2016-05-31,0.403722167
2016-06-01,0.314723688
2016-06-02,0.233850035
2016-06-03,0.1983127
2016-06-04,0.206949642
2016-06-05,0.241467809
2016-06-06,0.309270101
2016-06-07,0.358118672
2016-06-08,0.416283831
2016-06-09,0.403175714
2016-06-10,0.400171911
2016-06-11,0.391160503
2016-06-12,0.370133883
2016-06-13,0.446533947
2016-06-14,0.775525844
2016-06-15,1.551137107
2016-06-16,1.360609332
2016-06-17,0.930490005
2016-06-18,0.707938636
2016-06-19,0.566949517
2016-06-20,0.620341097
2016-06-21,0.609433654
2016-06-22,0.452331152
2016-06-23,0.877758438
2016-06-24,2.119931053
2016-06-25,1.224797493
2016-06-26,0.849021637
2016-06-27,0.620341097
2016-06-28,0.45888521
2016-06-29,0.409729772
2016-06-30,0.779263144
2016-07-01,28.93830902
2016-07-02,8.44682796
2016-07-03,79.36332765
2016-07-04,80.97566171
2016-07-05,101.0353281
2016-07-06,80.82478728
2016-07-07,37.12952779
2016-07-08,24.77897065
2016-07-09,16.1215624
2016-07-10,11.37269779
2016-07-11,9.553200909
2016-07-12,7.231584033
2016-07-13,6.178485758
2016-07-14,5.759706562
2016-07-15,14.63862309
2016-07-16,8.661628109
2016-07-17,6.650269843
2016-07-18,5.633615948
2016-07-19,5.177723123
2016-07-20,4.678260619
2016-07-21,3.989325711
2016-07-22,3.415134083
2016-07-23,3.008010443
2016-07-24,13.73034202
2016-07-25,6.204416509
2016-07-26,4.294560286
2016-07-27,3.869093215
2016-07-28,5.029920492
2016-07-29,5.471257569
2016-07-30,9.852256623
2016-07-31,6.506394161
2016-08-01,5.118679177
2016-08-02,4.229078995
2016-08-03,3.637598529
2016-08-04,3.131573082
2016-08-05,2.654248437
2016-08-06,1.784938534
2016-08-07,1.383659905
2016-08-08,1.338742491
2016-08-09,1.267687651
2016-08-10,1.089668364
2016-08-11,0.876093546
2016-08-12,0.799735344
2016-08-13,0.786717699
2016-08-14,0.799735344
2016-08-15,0.765021625
2016-08-16,0.756343195
2016-08-17,0.731876881
