Station,Groundwater(EL.m),Baseflow(CMS),Precip(mm)
SW-GW-2,68.4259,0.8874 ,0.5
SW-GW-2,68.4267,0.8704 ,0
SW-GW-2,68.4473,7.5650 ,51.5
SW-GW-2,68.4695,3.4430 ,10
SW-GW-2,68.4821,2.2570 ,0
SW-GW-2,68.4882,1.7380 ,0
SW-GW-2,68.4905,1.5560 ,0
SW-GW-2,68.4907,1.3920 ,0
SW-GW-2,68.489,1.2530 ,0
SW-GW-2,68.4866,1.1450 ,1.5
SW-GW-2,68.4837,1.0670 ,0
SW-GW-2,68.4804,1.0140 ,0
SW-GW-2,68.477,0.9722 ,0
SW-GW-2,68.473,0.9376 ,0
SW-GW-2,68.4692,0.9099 ,0
SW-GW-2,68.4656,0.8886 ,0
SW-GW-2,68.4645,0.8955 ,4.5
SW-GW-2,68.4636,0.8865 ,0
SW-GW-2,68.4611,0.8742 ,0
SW-GW-2,68.4587,0.8618 ,0.5
SW-GW-2,68.4564,0.8505 ,0
SW-GW-2,68.4532,0.8397 ,0
SW-GW-2,68.4502,0.8304 ,0
SW-GW-2,68.4479,0.8229 ,0
SW-GW-2,68.446,0.8167 ,0
SW-GW-2,68.4443,0.8116 ,0
SW-GW-2,68.4429,0.8073 ,0.5
SW-GW-2,68.4411,0.8030 ,0
SW-GW-2,68.4387,0.7986 ,0
SW-GW-2,68.4366,0.7946 ,0
SW-GW-2,68.4345,0.7911 ,0
SW-GW-2,68.4327,0.7881 ,0
SW-GW-2,68.4331,0.8025 ,4
SW-GW-2,68.4335,0.8037 ,0
SW-GW-2,68.4333,0.8006 ,0
SW-GW-2,68.4322,0.7959 ,0
SW-GW-2,68.4308,0.7907 ,0
SW-GW-2,68.4297,0.7859 ,0
SW-GW-2,68.4287,0.7832 ,1.5
SW-GW-2,68.428,0.7802 ,0
SW-GW-2,68.4275,0.7775 ,0
SW-GW-2,68.427,0.7750 ,2
SW-GW-2,68.4267,0.7727 ,0
SW-GW-2,68.4263,0.7706 ,0
SW-GW-2,68.4259,0.7687 ,3
SW-GW-2,68.4258,0.7683 ,1.5
SW-GW-2,68.4256,0.7671 ,0
SW-GW-2,68.4249,0.7652 ,0
SW-GW-2,68.4244,0.7635 ,0
SW-GW-2,68.4241,0.7618 ,0
SW-GW-2,68.4239,0.7604 ,0
SW-GW-2,68.4237,0.7594 ,0
SW-GW-2,68.4236,0.7582 ,2.5
SW-GW-2,68.4444,7.1810 ,46
SW-GW-2,68.4608,3.4560 ,3
SW-GW-2,68.4705,2.2010 ,0
SW-GW-2,68.4751,1.7220 ,0
SW-GW-2,68.4768,1.5350 ,0
SW-GW-2,68.4768,1.3660 ,0
SW-GW-2,68.4752,1.2210 ,0
SW-GW-2,68.4725,1.1060 ,0
SW-GW-2,68.4696,1.0280 ,0
SW-GW-2,68.4662,0.9721 ,0
SW-GW-2,68.4629,0.9274 ,0
SW-GW-2,68.4598,0.8928 ,0
SW-GW-2,68.4565,0.8665 ,0
SW-GW-2,68.4535,0.8463 ,0
SW-GW-2,68.4499,0.8299 ,0
SW-GW-2,68.4465,0.8168 ,0
SW-GW-2,68.4438,0.8063 ,0
SW-GW-2,68.441,0.7975 ,0
SW-GW-2,68.4383,0.7901 ,0
SW-GW-2,68.4362,0.7841 ,0
SW-GW-2,68.4354,0.7916 ,3.5
SW-GW-2,68.434,0.7890 ,0
SW-GW-2,68.4324,0.7838 ,0
SW-GW-2,68.4305,0.7782 ,0
SW-GW-2,68.4284,0.7725 ,0
SW-GW-2,68.4265,0.7675 ,0
SW-GW-2,68.425,0.7635 ,0
SW-GW-2,68.4235,0.7598 ,0
SW-GW-2,68.4214,0.7564 ,0.5
SW-GW-2,68.4196,0.7532 ,0
SW-GW-2,68.4179,0.7504 ,0
SW-GW-2,68.4166,0.7481 ,0
SW-GW-2,68.4154,0.7461 ,0
SW-GW-2,68.4145,0.7446 ,0
SW-GW-2,68.4133,0.7428 ,0
SW-GW-2,68.4117,0.7408 ,0
SW-GW-2,68.4149,0.8050 ,8
SW-GW-2,68.4177,0.8136 ,0
SW-GW-2,68.4189,0.8088 ,0
SW-GW-2,68.4195,0.7989 ,0.5
SW-GW-2,68.4251,0.8769 ,9
SW-GW-2,68.4288,0.8785 ,0.5
SW-GW-2,68.4303,0.8624 ,0
SW-GW-2,68.4306,0.8409 ,0
SW-GW-2,68.4303,0.8198 ,0
SW-GW-2,68.4302,0.8048 ,2
SW-GW-2,68.4325,0.8137 ,4.5
SW-GW-2,68.4323,0.8047 ,0
SW-GW-2,68.4307,0.7917 ,0
SW-GW-2,68.4417,1.6750 ,22.5
SW-GW-2,68.4498,1.4170 ,0
SW-GW-2,68.4535,1.3310 ,0
SW-GW-2,68.456,1.2330 ,3.5
SW-GW-2,68.4571,1.1260 ,0
SW-GW-2,68.4973,1.3090 ,0
SW-GW-2,68.5303,1.2190 ,0
SW-GW-2,68.5533,1.0960 ,0
SW-GW-2,68.5682,0.9924 ,0
SW-GW-2,68.5755,0.9133 ,0
SW-GW-2,68.5777,0.8533 ,0
SW-GW-2,68.5768,0.8081 ,0
SW-GW-2,68.5739,0.7715 ,0
SW-GW-2,68.5691,0.7392 ,0
SW-GW-2,68.5698,0.7930 ,9.5
SW-GW-2,68.5685,0.7757 ,0
SW-GW-2,68.5634,0.7494 ,0
SW-GW-2,68.5565,0.7223 ,0
SW-GW-2,68.548,0.6953 ,0
SW-GW-2,68.5387,0.6691 ,0
SW-GW-2,68.5288,0.6450 ,0
SW-GW-2,68.5191,0.6227 ,0
SW-GW-2,68.5104,0.6027 ,0
SW-GW-2,68.5022,0.5850 ,0
SW-GW-2,68.493,0.5692 ,0
SW-GW-2,68.4833,0.5554 ,0
SW-GW-2,68.4742,0.5438 ,0
SW-GW-2,68.4643,0.5334 ,0
SW-GW-2,68.4545,0.5245 ,0
SW-GW-2,68.4457,0.5169 ,0
SW-GW-2,68.4375,0.5106 ,0.5
SW-GW-2,68.4368,0.5662 ,9
SW-GW-2,68.4355,0.5697 ,0
SW-GW-2,68.4318,0.5655 ,0
SW-GW-2,68.4271,0.5572 ,0
SW-GW-2,68.4217,0.5461 ,0
