Date,BOD(mg/L),SS(mg/L),T-N(mg/L),T-P(mg/L),Streamflow(CMS)
2011-07-07,0.9,8.2,4.779,0.104,2.443
2011-07-14,1,16.8,3.95,0.165,5.638
2011-07-21,0.6,1.7,5.382,0.061,0.653
2011-07-27,0.9,19.2,3.468,0.194,
2011-08-01,0.8,7.9,3.92,0.099,
2011-08-09,1.2,56.6,3.787,0.215,
2011-08-19,0.9,28.8,3.303,0.175,11.299
2011-08-24,0.8,15.2,4.042,0.116,2.073
2011-09-08,0.6,1,2.762,0.042,0.237
2011-09-14,0.8,9.2,3.552,0.124,
2011-09-22,0.6,1,3.433,0.055,0.529
2011-09-28,0.5,1.2,3.193,0.046,0.371
2011-10-07,0.4,0.5,3.067,0.035,0.276
2011-10-12,0.3,0.5,2.74,0.037,0.277
2011-10-02,0.3,0.5,2.567,0.036,0.283
2011-10-26,0.4,0.6,3.467,0.044,0.454
2011-11-03,0.4,0.5,3.007,0.041,0.284
2011-11-09,0.3,0.4,3.045,0.036,0.269
2011-11-17,0.3,0.7,3.056,0.032,0.185
2011-11-23,0.4,0.9,3.147,0.037,0.281
2011-12-08,0.3,0.8,4.287,0.045,0.485
2011-12-14,0.5,0.4,3.979,0.031,0.268
2011-12-22,0.3,0.6,4.58,0.038,0.362
2011-12-26,0.3,1.6,4.89,0.026,
2012-01-12,0.4,0.9,4.232,0.032,0.094
2012-01-18,0.5,0.7,4.504,0.044,0.136
2012-01-25,0.4,0.9,4.132,0.034,
2012-01-31,0.3,0.3,3.95,0.031,
2012-02-08,0.5,0.8,4.465,0.032,0.091
2012-02-16,0.4,2.5,4.242,0.041,0.136
2012-02-22,0.3,0.2,4.397,0.032,0.065
2012-03-07,0.3,2.2,4.001,0.041,0.33
2012-03-15,0.8,16.5,3.75,0.065,0.177
2012-03-21,0.8,0.8,2.949,0.044,0.3
2012-04-04,1,29.2,6.331,0.137,3.197
2012-04-13,0.5,0.9,5.021,0.039,0.515
2012-04-18,0.7,1.4,4.77,0.039,0.309
2012-04-26,1.7,12.8,4.907,0.091,3.322
2012-05-09,0.4,1.5,4.579,0.035,0.279
2012-05-17,1.2,2.4,4.05,0.057,0.18
2012-05-23,0.8,7.4,4.412,0.046,0.123
2012-06-01,1.5,1.7,3.178,0.036,0.269
2012-06-08,0.7,3.3,3.152,0.044,0.151
2012-06-13,0.8,1.5,3.417,0.028,0.11
2012-06-21,0.7,1.6,3.039,0.03,0.033
2012-06-27,0.6,1.8,2.443,0.035,0.065
2012-07-05,1,1.1,2.012,0.043,0.186
2012-07-11,0.3,2.6,4.809,0.068,0.903
2012-07-19,0.9,36.6,6.302,0.145,4.899
2012-08-16,1.2,47.3,3.651,0.302,19.21
2012-08-23,1.2,53.5,2.383,0.196,20.844
2012-09-06,0.3,3.2,4.115,0.099,2.171
2012-09-12,0.8,2,3.7,0.086,1.764
2012-09-26,0.3,1,4.669,0.071,0.931
2012-10-11,0.7,1,3.585,0.039,0.294
2012-10-17,0.7,1.8,3.851,0.041,0.269
2012-10-25,0.5,0.8,3.825,0.049,0.414
2012-11-07,0.4,0.9,3.621,0.035,0.406
2012-11-15,0.3,0.7,3.757,0.037,0.466
2012-11-21,0.4,0.2,4.168,0.036,0.417
2012-11-29,0.3,0.4,4.402,0.035,0.344
2012-12-05,0.3,0.6,4.416,0.035,0.2
2012-12-13,0.4,0.2,4.534,0.035,0.199
2012-12-02,0.3,1.4,4.758,0.047,0.623
2013-01-01,0.5,1.6,5.309,0.045,0.172
2013-01-16,0.5,0.8,5.093,0.039,0.211
2013-01-03,0.4,1.4,4.518,0.047,0.272
2013-02-07,1.1,2.6,4.756,0.073,1.082
